i,time,loss,ce,kl,accuracy
266700,29062.43649506569,0.11799968779087067,0.05230458453297615,0.7458596229553223,0.9790000915527344
266800,29072.793228387833,0.12246731668710709,0.05451754480600357,0.7714577913284302,0.9737499952316284
266900,29083.315542936325,0.1233961284160614,0.055642880499362946,0.7692265510559082,0.9767499566078186
267000,29093.90044236183,0.12993286550045013,0.06561709940433502,0.7301995754241943,0.9800000786781311
267100,29104.460905313492,0.16506612300872803,0.0969381034374237,0.7734813690185547,0.9735000133514404
267200,29114.859064102173,0.147227942943573,0.07727645337581635,0.7941838502883911,0.9645000696182251
267300,29125.44487452507,0.15130847692489624,0.08234332501888275,0.7829856872558594,0.9732500314712524
267400,29135.777631998062,0.1289154589176178,0.062264107167720795,0.756716251373291,0.9794999957084656
267500,29146.259340524673,0.1285122036933899,0.06011689826846123,0.7765160799026489,0.9727500081062317
267600,29156.61327648163,0.12588709592819214,0.05883986875414848,0.7612109184265137,0.9774999022483826
267700,29167.240982055664,0.13079015910625458,0.066871777176857,0.7256879806518555,0.9742500185966492
267800,29177.68361878395,0.1920393407344818,0.125062957406044,0.760406494140625,0.9762499928474426
267900,29188.284036159515,0.12961144745349884,0.06137387827038765,0.7747251391410828,0.9785000085830688
268000,29198.67067217827,0.12975819408893585,0.06545522063970566,0.7300543785095215,0.9690000414848328
268100,29209.20043182373,0.14769987761974335,0.07735928148031235,0.7986016273498535,0.9740000367164612
268200,29219.588881969452,0.11281011253595352,0.04428672045469284,0.7779702544212341,0.9740000367164612
268300,29230.236953496933,0.12468808889389038,0.06555873155593872,0.6713164448738098,0.9790000319480896
268400,29240.59289956093,0.14377984404563904,0.07665842026472092,0.7620531320571899,0.9709999561309814
268500,29251.117076158524,0.1266307532787323,0.05498325824737549,0.8134391903877258,0.9747500419616699
268600,29261.536241054535,0.13782231509685516,0.0728304535150528,0.7378755807876587,0.9732500314712524
268700,29272.02144384384,0.1376916766166687,0.07409961521625519,0.721983015537262,0.9760000109672546
268800,29282.38044333458,0.14654958248138428,0.07609689980745316,0.7998741269111633,0.9797499775886536
268900,29292.941855430603,0.13973075151443481,0.07702883332967758,0.7118769288063049,0.9757499694824219
269000,29303.43160891533,0.15490812063217163,0.09104522317647934,0.7250578999519348,0.9762499928474426
269100,29314.168929338455,0.13471588492393494,0.0703749805688858,0.7304849624633789,0.9747499227523804
269200,29324.660125732422,0.1312025487422943,0.06973900645971298,0.697817325592041,0.9779999256134033
269300,29335.152861118317,0.13692407310009003,0.06989637762308121,0.7609890699386597,0.9787499904632568
269400,29345.651109218597,0.13385654985904694,0.06442391127347946,0.7882933020591736,0.9805000424385071
269500,29356.413658618927,0.11487731337547302,0.052858781069517136,0.7041182518005371,0.9782499670982361
269600,29366.860078811646,0.11054481565952301,0.04390086233615875,0.7566323280334473,0.9692500233650208
269700,29377.437453508377,0.1314099133014679,0.0627606138586998,0.7793997526168823,0.9760000705718994
269800,29387.798387289047,0.131829634308815,0.06539996713399887,0.7541995048522949,0.9747499823570251
269900,29398.412400245667,0.14663657546043396,0.0778135359287262,0.7813722491264343,0.9814999103546143
270000,29408.853579759598,0.1298617124557495,0.05792670696973801,0.8167034387588501,0.9712499976158142
270100,29419.401458740234,0.13026754558086395,0.0669354498386383,0.7190316319465637,0.9800000786781311
